"control"	"self"	"motive"	"english"	"history"	"maths"	"biology"	"sex"	"school"
-0.37	-1.9	0.67	54.8	36.5	37.7	49.8	0	3
0.06	1.19	1	65.4	64.5	67.9	63.4	0	1
-0.6	0.32	1	38.9	56.7	41.2	33.6	1	3
0.71	0.03	0.33	46.9	59.3	63	52.6	0	2
-1.78	0.56	1	28.3	46.3	42.8	44.4	1	3
0.04	0.03	0.67	65.4	51.5	61.2	68.8	0	1
0.66	-0.6	0	42.6	56.7	40.3	49.8	1	3
-1.09	-0.9	0.67	57.4	59.9	50.5	52.6	1	2
0.06	0.03	1	62.7	64.5	71.3	55.3	0	1
-0.66	-0.08	1	44.7	33.3	33.7	39	0	3
0.71	1.19	0.67	54.8	48.9	52.4	58	0	2
0.75	1.19	1	68	61.9	52.2	60.7	0	2
0.06	-0.6	0.67	62.7	56	57.3	60.7	1	1
0.43	-1.09	0.67	63.3	64.5	52.1	58	1	2
0.3	0.56	1	44.2	33.3	37.7	30.9	0	3
0.26	0.94	0	54.8	38.5	46.8	36.3	1	3
0.46	-0.3	1	53.2	60.6	61.2	56.9	0	1
-0.9	-2.54	0	44.2	43.7	40.2	39.6	1	3
-0.19	-0.73	0.67	73.3	60.6	64.7	66.1	0	1
0.45	0.56	1	52.1	43.7	41.9	47.1	1	3
0.3	-0.6	1	49.5	59.3	53.1	60.7	1	2
-1.78	0.56	0.33	37.3	43.7	45.4	39	0	3
0.91	0.59	1	65.4	67.1	67.1	66.1	0	1
-0.6	-0.47	0.67	46.9	54.1	49	52.6	1	2
0.68	0.03	0	44.2	35.9	43.6	47.1	1	3
0.06	-1.07	0	38.9	48.9	45.2	44.4	1	3
0	0.34	0.33	46.9	59.3	53.7	58	1	2
0.46	0.03	1	60.1	64.5	56.3	63.4	1	1
-0.63	0.44	0.33	41.6	43.7	46.8	36.3	1	3
-0.4	-0.26	0.33	52.1	54.1	55.3	52.6	1	2
0.44	0.03	1	55.3	51.5	48	58	1	2
0.91	0.65	0.33	54.8	48.9	41.9	52.6	1	2
-1.15	-0.47	0.67	44.2	56.7	52.2	44.4	1	2
-0.03	0.63	0.67	52.1	54.1	48.2	55.3	0	2
-0.4	-0.47	1	54.8	59.3	51.8	41.7	1	2
0.02	0.13	0.33	73.3	59.9	70.5	60.7	0	1
1.36	0.44	0.67	70.7	58	65.4	63.4	0	1
-0.14	0.13	0.67	41.6	56.7	51.3	47.1	1	2
-0.17	-0.84	0.67	62.7	56.7	54.3	58	0	2
0.93	-1.63	0.67	38.9	41.1	40.3	34.1	0	3
-1.99	0.03	0	39.4	54.1	38.7	47.1	1	3
0.31	1.19	1	40.5	46.9	40.4	39	1	3
0.71	0.03	1	54.8	61.2	53.7	48.8	0	2
0.52	0.34	1	65.4	54.1	61.4	58	1	1
0.42	0.56	0.67	70.7	56	62	67.7	0	1
-1.74	0.61	0.33	45.8	34.6	37.9	39	0	3
0.06	0.03	1	41.6	46.3	46.2	39	1	3
1.13	0.87	1	57.4	54.7	51.7	49.8	0	2
0.75	1.19	1	60.1	61.9	67.1	49.8	1	2
1.16	1.19	1	70.7	64.5	72.2	66.1	1	1
0.46	0.63	0.67	46.9	52.8	49.3	53.1	0	2
-0.45	-0.6	0.67	52.1	59.9	49.5	48.8	0	3
-1.5	0.03	0.67	33.6	48.9	38.6	42.3	0	3
0.71	0.34	0	62.7	64.5	57.4	60.7	1	1
0.46	-0.55	0.33	41.6	54.1	50.3	49.8	1	2
0.71	1.19	0.33	54.8	59.3	62.5	68.8	0	1
1.36	1.19	1	65.4	48.9	66.3	58	0	1
0.3	0.03	0.67	36.8	59.3	40.7	49.8	1	3
0.93	0.65	1	62.7	59.3	71.3	68.8	1	1
0.55	0.9	1	62.7	61.9	59.6	60.7	1	1
0.27	0.03	0.67	57.4	41.1	57	55.3	1	1
0.44	-0.16	0.67	62.7	48.9	48.8	66.1	0	2
-1.34	1.19	1	44.2	41.1	44.2	44.4	1	3
0.06	0.94	0.67	45.3	54.7	44.3	33.6	1	3
0.26	0.03	1	60.1	64.5	55.7	63.4	1	1
-1.33	0.65	0	40.5	38.5	47.1	44.4	0	3
-1.1	-0.28	0.67	38.9	41.1	45.9	47.1	1	3
0.96	0.63	1	65.4	64.5	70.3	66.1	0	1
0.06	0.9	0.67	38.9	52.8	54.4	49.8	1	2
0.46	0.03	0	73.3	61.9	73.1	68.8	0	1
0.68	0.03	0.67	71.2	63.2	60.2	65.5	0	1
0.68	0.32	1	36.3	56.7	41.9	49.8	1	3
-0.44	-1.13	1	54.8	61.9	69.6	60.7	1	1
0.55	-0.6	1	54.8	54.1	51.3	41.7	1	2
-0.33	0.38	0.67	62.7	59.3	56.5	55.3	0	1
0.5	0.03	0.67	68	59.3	58.8	66.1	1	1
1.11	-0.09	0	44.2	48.9	48	49.8	0	3
-0.43	0.03	1	52.1	44.3	53.1	58	0	2
0	-0.42	0.67	49.5	51.5	52.9	39	1	2
0.71	0.34	0.67	68	61.9	64.5	68.8	1	1
0	-1.09	0.67	62.7	51.5	45.9	47.1	1	3
0.91	-0.28	1	60.1	67.1	56.2	37.4	1	2
0.06	0.03	1	41.6	54.1	41.2	41.7	1	3
-0.59	0.03	0.33	33.6	54.1	41	41.7	1	3
0.69	0.34	1	52.1	56.7	53.4	60.7	1	2
0.68	0.03	1	65.4	64.5	51.3	66.1	0	2
-0.82	0.63	1	36.8	36.5	41.5	33.1	0	3
-0.66	-0.47	1	52.7	41.1	40.2	58	0	2
0.03	0.32	1	44.7	56.7	50.3	30.9	0	2
0.71	-0.29	0.67	57.4	61.9	55.5	58	1	1
0.47	-0.09	0.33	33.6	33.9	38.8	39.6	1	3
-1.1	0.03	1	38.9	38.5	42.8	41.7	0	3
-0.4	-0.76	0.67	52.1	35.9	50.3	47.1	0	2
0.23	0.44	1	49.5	51.5	45.5	49.8	1	3
0.68	-0.47	0.33	46.9	61.9	60.5	68.8	0	1
1.36	0.59	1	62.7	67.1	69.6	68.8	0	1
-0.21	-1.38	0	34.2	46.3	44.5	39	0	3
0.06	0.56	0.33	46.9	41.1	45.3	47.1	0	3
0.91	-1.67	0.33	57.4	54.1	54.8	60.7	1	2
-0.4	0.88	0.33	54.8	45	45.9	58	0	2
0.29	0.39	0.33	41.6	33.3	37.6	28.2	0	3
-0.39	1.19	1	40.5	59.3	41.9	33.6	1	3
0.3	-0.59	1	54.8	46.3	45.5	58	0	2
0.31	0.63	1	38.9	56.7	46.3	58	1	2
0.69	0.03	0.67	49.5	39.8	38.6	49.3	0	3
0.52	-0.28	0.67	38.9	41.7	33.7	30.9	1	3
-0.38	0.03	0	52.1	43.7	49.4	55.3	0	2
0.1	1.19	1	52.1	56.7	62.3	66.1	1	1
0.1	0.03	0.33	49.5	56.7	48	47.1	1	3
-0.42	-0.6	1	54.8	56.7	64.7	58	0	1
0.33	-0.26	1	52.1	67.1	57	63.4	1	1
0.06	-0.59	0	44.2	41.1	59.8	44.4	0	2
1.14	1.19	1	65.9	67.1	67.1	60.7	1	1
0.46	0.03	0.67	52.1	56.7	53	47.1	1	2
0.46	0.34	0.67	62.2	56.7	51.9	54.7	0	2
0.68	0.94	1	62.7	52.1	66.1	68.8	0	1
0.1	0.56	0.67	54.8	61.9	60.4	55.3	0	1
0.05	0.15	1	44.2	49.5	40.5	39	1	3
0	0.65	1	68	64.5	58.3	58.5	1	1
-0.6	0.34	0	49.5	41.7	50.3	36.3	0	2
-1.57	0.65	0.33	52.1	56.7	45.2	55.3	0	2
1.36	0.94	1	52.1	48.9	51.3	41.7	1	2
0	0.65	0.67	46.9	33.3	50.4	47.1	0	2
-0.93	-0.8	0.33	52.1	51.5	49.5	55.3	0	2
0.32	0.9	0.67	52.1	59.3	58.1	47.1	1	2
0.26	0.03	1	57.4	51.5	55.3	60.7	0	1
0.2	-0.47	0.67	56.4	49.5	51.9	47.1	0	2
0.23	0.15	0.33	49.5	51.5	48	52.6	0	2
-0.16	0.65	1	68	61.9	69.7	71.5	0	1
-0.61	0.36	0	44.2	48.9	46.1	47.1	1	3
0.66	0.34	0.67	54.8	56.7	61.9	63.4	1	1
0.46	0.03	0.67	54.8	54.7	56.9	58	0	1
0.29	0.03	1	49.5	48.9	56.2	47.1	1	2
-0.66	-1.07	0.67	49.5	61.9	60.4	47.1	1	2
0.26	1.19	1	52.1	52.8	37.6	52.6	0	2
0.44	-0.47	0.33	62.7	64.5	48	63.4	0	2
-0.19	-0.85	0	54.8	60.6	55.5	58	1	1
0.52	0.65	0.33	54.3	62.5	56.6	54.7	0	2
0.91	0.34	1	52.1	54.1	58.1	55.8	0	1
0.06	0.32	0.67	49.5	43.7	55.5	68.8	0	1
-1.55	0.03	0	36.3	41.1	43.5	33.6	0	3
0.42	-0.47	0.33	73.3	61.2	57.4	54.7	1	2
0.67	0.03	0.67	52.1	56.7	51.1	55.3	1	2
0.06	0.59	1	52.1	51.5	45.4	39	1	3
-0.16	0.03	0.33	44.2	59.3	49.5	55.3	0	2
0.49	1.19	1	46.9	51.5	50.6	49.8	0	2
-0.8	0.15	0.33	41.6	41.1	39.5	47.1	1	3
-0.47	0.28	1	65.4	61.9	47.1	60.7	1	2
0.46	0.03	1	41.6	64.5	47.1	53.1	1	2
-0.34	0.59	1	38.9	33.9	35.1	44.4	1	3
0.1	1.19	1	38.9	35.9	46.8	39	1	3
0.52	-0.59	0.67	41.6	59.3	38.6	36.3	1	3
0.23	0.03	1	52.1	59.3	52.9	60.7	1	2
0.49	0.94	1	49.5	39.8	44.5	55.3	0	2
0.08	0.03	1	54.8	67.1	47.4	49.8	1	3
0.48	0.69	0.67	62.7	43	58.9	65	0	1
0.57	-2.62	0	38.9	28.1	38.4	44.4	1	3
-0.38	0.37	0.67	44.2	43.7	46.1	47.1	1	3
1.11	-1.05	0.33	70.7	67.1	63	63.4	1	1
-0.04	-0.29	0.67	41.6	38.5	40.2	33.6	1	3
0.46	0.59	1	52.1	62.5	53.6	56.3	1	2
-0.83	1.19	0.67	38.9	38.5	44.4	26	0	3
0	0.34	1	62.7	59.9	65.4	53.6	1	2
0.28	0.32	1	52.1	54.1	56.5	55.3	0	1
-0.22	-1.34	0.67	46.9	31.3	43.6	36.3	0	3
0	-0.18	0	62.7	59.3	55.5	45.5	1	2
-0.44	-0.55	0.33	46.9	38.5	47.1	41.7	0	3
0.26	0.88	1	65.4	59.3	62.3	60.7	0	1
0.46	-0.47	0	49.5	61.9	41.4	55.3	1	2
1.16	1.19	0.33	55.3	46.9	49.1	54.2	0	2
0.01	0.32	0	52.1	41.1	50.6	52.6	0	2
0.93	0.03	1	65.9	67.1	70.5	52.6	1	2
1.16	-0.72	0.67	56.9	64.5	72.2	54.2	1	2
0.46	0.65	1	68	59.3	57.9	74.2	0	1
0.89	0.32	0.67	46.9	44.3	48.7	53.1	0	2
0.91	0.03	1	57.4	59.3	55.5	55.3	1	1
0.73	0.03	1	62.7	62.5	68.9	60.7	1	1
0.46	0.03	0	49.5	46.3	46.2	41.7	0	3
-0.22	0.32	0.33	35.2	38.5	39.9	34.7	1	3
0	0.15	0.33	73.3	64.5	75.5	60.7	0	1
0.73	-1.42	0.33	38.9	41.1	41	36.3	1	3
0.25	0.34	1	49.5	61.9	42.9	41.7	1	3
0.31	0.03	1	54.8	48.9	61.2	60.7	0	1
0.93	0.34	1	46.9	54.1	54.6	55.3	0	2
0.51	-1.29	0.33	39.4	41.7	46.9	35.2	1	3
-0.49	0.03	0	46.9	37.2	42.8	41.7	1	3
-0.59	1.19	0.67	36.3	36.5	35.1	33.6	0	3
-0.59	0.28	1	46.9	51.5	48.5	49.8	1	3
0.29	0.88	0.67	33.6	43.7	40.2	39	1	3
-0.23	0.69	0.67	46.9	61.9	48	39	1	3
0.45	0.03	0.67	60.1	61.9	51.9	53.1	1	2
0.28	-0.06	0.33	44.2	30.7	35.3	47.1	0	3
-0.49	0.03	0.33	65.4	59.3	56.8	66.1	0	1
0.44	0.65	1	52.1	54.1	54.6	41.7	0	2
0.53	0.81	0.67	54.8	59.3	61.4	47.1	1	2
0.46	0.03	0.33	44.7	38.5	45.9	44.4	1	3
0.48	-0.47	0.33	52.1	61.9	55.5	60.7	1	1
-0.39	-0.28	0.67	44.2	51.5	51.1	63.4	0	2
-0.43	0.13	0.33	38.9	44.3	51.6	43.9	1	2
0.75	-0.72	0.67	42.6	46.3	41.2	28.2	1	3
0.91	0.34	1	68	59.3	53	63.4	1	2
-1.76	-0.93	0.67	36.3	38.5	36.4	36.3	1	3
0.46	-0.86	1	68	59.3	60.5	55.3	1	1
0.66	0.03	1	52.1	56.7	41.9	52.6	1	2
-1.58	-0.26	0.33	62.7	48.9	35.3	66.1	0	2
-0.19	0.03	0.33	54.8	51.5	42.8	60.7	0	2
0.46	1.19	0.67	65.9	64.5	61.8	60.7	1	1
-0.41	0.28	0.33	46.9	35.9	42.6	58	0	2
0	0.65	1	52.1	61.9	62.1	58	0	1
0.22	0.03	0.33	52.1	54.7	49.5	53.6	1	2
0.06	-0.29	0.67	57.4	64.5	51.1	63.4	0	2
0.46	0.34	1	57.4	54.1	59.6	60.7	1	1
0	0.03	0.33	52.1	59.3	50.4	60.7	0	2
-0.65	0.03	0.33	41.6	39.1	42.3	41.7	1	3
-0.6	-1.18	0.67	54.8	59.3	68	49.3	1	2
-0.4	-1.8	0.33	50	45	42.9	41.7	1	3
0.71	0.34	0.67	52.1	41.1	51.3	60.7	0	2
-0.45	-0.26	0	38.9	35.9	44.2	55.3	0	2
0.52	0.03	1	46.9	51.5	53.7	41.7	1	2
-1.15	-1.38	1	49.5	56.7	46.1	53.6	1	2
1.36	0.63	1	68	64.5	58.9	63.4	1	1
0.68	1.19	0.33	41.6	41.1	57.2	71.5	0	1
0.49	0.44	0.67	53.7	43.7	51.1	52	0	2
-0.11	0.25	1	44.2	44.3	45.6	39	0	3
0.71	0.03	1	46.9	61.9	46.2	60.7	0	2
